instance,class,method,n_customers,service_rate_raw,service_rate_feasible,n_served_raw,n_served_feasible,makespan
R104,R,AM,100,1.0,1.0,100.0,100.0,210.18110770276277
R104,R,POMO,100,1.0,1.0,100.0,100.0,210.18110770276277
R104,R,TD-Split,100,1.0,1.0,100.0,100.0,210.18110770276277
R104,R,GAT-MARL,100,1.0,1.0,100.0,100.0,215.6229
R105,R,NNH,100,0.89,0.89,89.0,89.0,200.76718454015185
R105,R,CWS,100,1.0,0.25,100.0,25.0,330.688085034551
R105,R,ALNS,100,0.89,0.89,89.0,89.0,196.082277912005
R105,R,AM,100,0.84,0.84,84.0,84.0,200.76718454015185
R105,R,POMO,100,0.83,0.83,83.0,83.0,200.76718454015185
R105,R,TD-Split,100,0.95,0.95,95.0,95.0,200.76718454015185
R105,R,GAT-MARL,100,0.92,0.92,92.0,92.0,190.0
R106,R,NNH,100,0.99,0.99,99.0,99.0,200.74676547603124
R106,R,CWS,100,1.0,0.44,100.0,44.0,330.688085034551
R106,R,ALNS,100,0.99,0.99,99.0,99.0,207.97195059585653
R106,R,AM,100,0.9,0.9,90.0,90.0,200.74676547603124
R106,R,POMO,100,0.9,0.9,90.0,90.0,200.74676547603124
R106,R,TD-Split,100,1.0,1.0,100.0,100.0,200.74676547603124
R106,R,GAT-MARL,100,1.0,1.0,100.0,100.0,201.7108
R107,R,NNH,100,1.0,1.0,100.0,100.0,200.81638768813696
R107,R,CWS,100,1.0,0.6,100.0,60.0,330.688085034551
R107,R,ALNS,100,1.0,1.0,100.0,100.0,210.48701329856223
R107,R,AM,100,1.0,1.0,100.0,100.0,200.6433241275258
R107,R,POMO,100,0.98,0.98,98.0,98.0,200.6433241275258
R107,R,TD-Split,100,1.0,1.0,100.0,100.0,200.7551009357609
R107,R,GAT-MARL,100,1.0,1.0,100.0,100.0,211.2042
R108,R,NNH,100,1.0,1.0,100.0,100.0,200.7551009357609
R108,R,CWS,100,1.0,0.85,100.0,85.0,247.6582057639946
R108,R,ALNS,100,1.0,1.0,100.0,100.0,215.660813865894
R108,R,AM,100,1.0,1.0,100.0,100.0,200.6433241275258
R108,R,POMO,100,1.0,1.0,100.0,100.0,200.6433241275258
R108,R,TD-Split,100,1.0,1.0,100.0,100.0,200.7551009357609
R108,R,GAT-MARL,100,1.0,1.0,100.0,100.0,198.3732
R109,R,NNH,100,1.0,1.0,100.0,100.0,178.05605947435697
R109,R,CWS,100,1.0,0.35,100.0,35.0,285.688085034551
R109,R,ALNS,100,1.0,1.0,100.0,100.0,192.8439111567112
R109,R,AM,100,1.0,1.0,100.0,100.0,178.05605947435697
R109,R,POMO,100,1.0,1.0,100.0,100.0,178.05605947435697
R109,R,TD-Split,100,1.0,1.0,100.0,100.0,178.05605947435697
R109,R,GAT-MARL,100,1.0,1.0,100.0,100.0,171.1434
R110,R,NNH,100,1.0,1.0,100.0,100.0,171.7010600716876
R110,R,CWS,100,1.0,0.48,100.0,48.0,258.3821724317313
R110,R,ALNS,100,1.0,1.0,100.0,100.0,196.8278571550977
R110,R,AM,100,1.0,1.0,100.0,100.0,171.4911766474437
R110,R,POMO,100,1.0,1.0,100.0,100.0,171.4911766474437
R110,R,TD-Split,100,1.0,1.0,100.0,100.0,170.77864503306856
R110,R,GAT-MARL,100,1.0,1.0,100.0,100.0,174.2043
R111,R,NNH,100,1.0,1.0,100.0,100.0,199.93866800234264
R111,R,CWS,100,1.0,0.6,100.0,60.0,285.688085034551
R111,R,ALNS,100,1.0,1.0,100.0,100.0,189.50264194344848
R111,R,AM,100,1.0,1.0,100.0,100.0,199.93866800234264
R111,R,POMO,100,1.0,1.0,100.0,100.0,198.74676547603124
R111,R,TD-Split,100,1.0,1.0,100.0,100.0,198.74676547603124
R111,R,GAT-MARL,100,1.0,1.0,100.0,100.0,200.7122
R112,R,NNH,100,1.0,1.0,100.0,100.0,134.24981348843613
R112,R,CWS,100,1.0,0.8,100.0,80.0,218.37155056160827
R112,R,ALNS,100,1.0,1.0,100.0,100.0,184.76885162178615
R112,R,AM,100,1.0,1.0,100.0,100.0,133.909532048779
R112,R,POMO,100,1.0,1.0,100.0,100.0,134.24981348843613
R112,R,TD-Split,100,1.0,1.0,100.0,100.0,123.25756540100151
R112,R,GAT-MARL,100,1.0,1.0,100.0,100.0,179.7603
R201,R,NNH,100,0.93,0.93,93.0,93.0,880.4871314626369
R201,R,CWS,100,1.0,0.13,100.0,13.0,1430.25569429266
R201,R,ALNS,100,0.93,0.93,93.0,93.0,859.5281183907218
R201,R,AM,100,0.93,0.93,93.0,93.0,880.9764339119812
R201,R,POMO,100,0.93,0.93,93.0,93.0,869.8747869232787
R201,R,TD-Split,100,0.97,0.97,97.0,97.0,869.7671845401518
R201,R,GAT-MARL,100,1.0,1.0,100.0,100.0,859.1811
R202,R,NNH,100,1.0,1.0,100.0,100.0,879.9607224306671
R202,R,CWS,100,1.0,0.29,100.0,29.0,1430.25569429266
R202,R,ALNS,100,1.0,1.0,100.0,100.0,879.7095081603098
R202,R,AM,100,0.92,0.92,92.0,92.0,879.9607224306671
R202,R,POMO,100,0.92,0.92,92.0,92.0,879.9607224306671
R202,R,TD-Split,100,1.0,1.0,100.0,100.0,879.9607224306671
R202,R,GAT-MARL,100,1.0,1.0,100.0,100.0,912.7732
R203,R,NNH,100,1.0,1.0,100.0,100.0,891.2483054722718
R203,R,CWS,100,1.0,0.38,100.0,38.0,1430.25569429266
R203,R,ALNS,100,1.0,1.0,100.0,100.0,878.1708617749176
R203,R,AM,100,1.0,1.0,100.0,100.0,890.4350084733576
R203,R,POMO,100,1.0,1.0,100.0,100.0,891.3315032401715
R203,R,TD-Split,100,1.0,1.0,100.0,100.0,880.2675824985181
R203,R,GAT-MARL,100,1.0,1.0,100.0,100.0,880.8498
R204,R,NNH,100,1.0,1.0,100.0,100.0,890.3158323979594
R204,R,CWS,100,1.0,0.45,100.0,45.0,1387.107595925714
R204,R,ALNS,100,1.0,1.0,100.0,100.0,989.93511343923
R204,R,AM,100,1.0,1.0,100.0,100.0,890.0443408491419
R204,R,POMO,100,1.0,1.0,100.0,100.0,890.8506159056298
R204,R,TD-Split,100,1.0,1.0,100.0,100.0,879.9611063469305
R204,R,GAT-MARL,100,1.0,1.0,100.0,100.0,869.5209
R205,R,NNH,100,1.0,1.0,100.0,100.0,771.056059474357
R205,R,CWS,100,1.0,0.2,100.0,20.0,1348.25569429266
R205,R,ALNS,100,1.0,1.0,100.0,100.0,810.5439127821154
R205,R,AM,100,1.0,1.0,100.0,100.0,771.3317478962725
R205,R,POMO,100,1.0,1.0,100.0,100.0,771.056059474357
R205,R,TD-Split,100,1.0,1.0,100.0,100.0,771.056059474357
R205,R,GAT-MARL,100,1.0,1.0,100.0,100.0,761.3716
R206,R,NNH,100,1.0,1.0,100.0,100.0,782.2110497848557
