instance,class,n_customers,n_vehicles,bks_distance,method,makespan,total_co2_kg,total_distance,service_rate,n_served,workload_balance,battery_used_pct,runtime_s,gap_to_bks_pct
R101,R1,100,25,1645.8,TD-Split,210.1811,139.1815,3032.5054,0.84,84.0,78.7303,40.7477,0.002,-87.2292
R101,R1,100,25,1645.8,GAT-MARL,210.0,213.3559,2486.8302,0.82,82.0,82.2035,0.0,11299.8456,-87.2402
R102,R1,100,25,1486.1,NNH,210.1811,162.7811,1904.6126,0.86,86.0,34.7664,0.0,0.0131,-85.8569
R102,R1,100,25,1486.1,CWS,344.6881,87.4515,886.8278,1.0,100.0,36.6184,0.0,0.0201,-76.8059
R102,R1,100,25,1486.1,ALNS,210.1811,95.6048,1018.2086,0.86,86.0,93.2125,0.0,15.0226,-85.8569
R102,R1,100,25,1486.1,AM,210.1811,171.2526,2004.1273,0.87,87.0,35.1737,0.0,0.0469,-85.8569
R102,R1,100,25,1486.1,POMO,210.1811,164.2975,1926.5812,0.84,84.0,34.9129,0.0,0.4126,-85.8569
R102,R1,100,25,1486.1,TD-Split,210.1811,140.6913,3042.8604,0.94,94.0,79.7546,40.7477,0.011,-85.8569
R102,R1,100,25,1486.1,GAT-MARL,206.6716,242.3745,2820.5721,0.9,90.0,80.5729,0.0,9471.2868,-86.093
R103,R1,100,25,1292.7,NNH,210.1811,181.7537,2121.4946,0.96,96.0,38.8985,0.0,0.004,-83.7409
R103,R1,100,25,1292.7,CWS,344.6881,87.4515,886.8278,1.0,100.0,41.4627,0.0,0.004,-73.3358
R103,R1,100,25,1292.7,ALNS,218.9941,99.168,1022.481,0.96,96.0,92.5148,0.0,3.0188,-83.0592
R103,R1,100,25,1292.7,AM,210.1811,183.8099,2143.0237,0.96,96.0,36.7511,0.0,0.0075,-83.7409
R103,R1,100,25,1292.7,POMO,210.1811,174.7113,2041.3465,0.93,93.0,39.0984,0.0,0.06,-83.7409
R103,R1,100,25,1292.7,TD-Split,210.1811,159.2441,3263.3779,1.0,100.0,76.6615,40.7477,0.002,-83.7409
R103,R1,100,25,1292.7,GAT-MARL,213.7229,327.3071,3700.0795,1.0,100.0,80.999,0.0,3351.2327,-83.4669
R104,R1,100,25,1007.3,NNH,210.1811,192.3213,2244.4124,1.0,100.0,53.1661,0.0,0.0043,-79.1342
R104,R1,100,25,1007.3,CWS,263.6582,87.4515,886.8278,1.0,100.0,36.1081,0.0,0.004,-73.8253
R104,R1,100,25,1007.3,ALNS,215.4885,89.9354,928.4302,1.0,100.0,88.4793,0.0,4.5448,-78.6073
R104,R1,100,25,1007.3,AM,210.1811,195.7749,2282.2811,1.0,100.0,52.8095,0.0,0.0099,-79.1342
R104,R1,100,25,1007.3,POMO,210.1811,186.9199,2182.98,1.0,100.0,57.1918,0.0,0.0758,-79.1342
R104,R1,100,25,1007.3,TD-Split,210.1811,162.6137,3304.3654,1.0,100.0,65.8762,40.7477,0.0019,-79.1342
R104,R1,100,25,1007.3,GAT-MARL,215.6229,331.1085,3717.5101,1.0,100.0,71.2774,0.0,545.8458,-78.594
R105,R1,100,25,1377.1,NNH,200.7672,196.6712,2301.0462,0.89,89.0,31.3449,0.0,0.004,-85.421
R105,R1,100,25,1377.1,CWS,330.6881,87.4515,886.8278,1.0,100.0,32.9105,0.0,0.004,-75.9866
R105,R1,100,25,1377.1,ALNS,197.0125,101.1046,1060.7761,0.89,89.0,82.6287,0.0,3.3215,-85.6937
R105,R1,100,25,1377.1,AM,200.7672,199.6623,2338.958,0.84,84.0,29.3702,0.0,0.009,-85.421
R105,R1,100,25,1377.1,POMO,200.7672,185.9261,2178.6886,0.83,83.0,29.832,0.0,0.0646,-85.421
R105,R1,100,25,1377.1,TD-Split,200.7672,171.5291,3408.3972,0.95,95.0,72.8704,40.7477,0.002,-85.421
R105,R1,100,25,1377.1,GAT-MARL,190.0,249.5567,2873.2747,0.92,92.0,75.3424,0.0,5122.5115,-86.2029
R106,R1,100,25,1252.0,NNH,200.7468,195.5473,2281.2905,0.99,99.0,38.4945,0.0,0.009,-83.9659
R106,R1,100,25,1252.0,CWS,330.6881,87.4515,886.8278,1.0,100.0,35.6547,0.0,0.0089,-73.5872
R106,R1,100,25,1252.0,ALNS,205.5833,118.7873,1213.5705,0.99,99.0,85.0332,0.0,4.1632,-83.5796
